Source,Target,Weight
Ezreal,Lucian,0.5048508154641266
Ezreal,Vayne,0.4743096759279201
Lucian,Vayne,0.4330639436122912
Caitlyn,Ezreal,0.37818663271448216
Yasuo,Zed,0.34455081216396805
Ezreal,Sivir,0.3383953662757859
Blitzcrank,Thresh,0.32068149160430826
Alistar,Thresh,0.31411269232896205
Lucian,Sivir,0.3113364860782404
Caitlyn,Vayne,0.3042383031586998
Caitlyn,Lucian,0.29881429310252844
Nami,Soraka,0.2931089353491584
Morgana,Thresh,0.28200093090274503
Lulu,Nami,0.27786535515175576
Pyke,Thresh,0.2680029141049353
Alistar,Braum,0.26527269335388015
Irelia,Yasuo,0.2605591555959896
Caitlyn,Sivir,0.2507214901513356
Morgana,Soraka,0.24166423291045191
Morgana,Nami,0.24102384527492718
Lulu,Soraka,0.24032295095492018
Sivir,Vayne,0.23938879143729302
Ezreal,Jinx,0.2378166527131152
Ezreal,Thresh,0.23411108352237436
Caitlyn,Jinx,0.22463880569350098
Braum,Thresh,0.22452618214535125
Janna,Soraka,0.2235648666262638
Alistar,Morgana,0.22276407673385212
Ashe,Ezreal,0.2224870888425488
Alistar,Blitzcrank,0.22164927925356437
Jinx,Vayne,0.2204389615405182
Alistar,Leona,0.21680176469304918
Janna,Nami,0.2166591261624694
Vayne,Yasuo,0.21456208844841979
Ashe,Caitlyn,0.21417216644880824
Akali,Irelia,0.21250939486849169
Ezreal,Jhin,0.20946988710390566
Riven,Yasuo,0.20806290670257221
Leona,Morgana,0.20649100080465438
Ezreal,Yasuo,0.20621327600674688
Lux,Morgana,0.206085275324349
Jinx,Lucian,0.2032378377942462
Ashe,Sivir,0.20101155640997492
Janna,Lulu,0.19872071925400675
Jinx,Sivir,0.19860833770051348
Irelia,Riven,0.19681496683312683
Blitzcrank,Morgana,0.19413869951736148
Braum,Leona,0.19208001985421336
Karma,Morgana,0.1871535831841659
Sylas,Yasuo,0.1862181073858279
Lulu,Morgana,0.1857876512491362
Vladimir,Yasuo,0.18277508950222038
Braum,Morgana,0.18141009285039253
Jhin,Lucian,0.1813340324458591
Leona,Nautilus,0.17969229567497613
Leona,Thresh,0.1792903739911927
Kalista,Vayne,0.17866134982953769
Morgana,Zyra,0.17797200843082026
Alistar,Nautilus,0.17356873454218064
Ezreal,Kalista,0.1725802578383988
Ashe,Vayne,0.172190186670088
Ashe,Lucian,0.17056529595679865
Blitzcrank,Leona,0.1703456875144645
Morgana,Nautilus,0.1691404921248611
Caitlyn,Jhin,0.16888776545765904
Akali,Yasuo,0.16685169055537047
Irelia,Sylas,0.16484823631217022
Blitzcrank,Pyke,0.16416923889281088
Talon,Zed,0.16402874911707224
Ezreal,Vladimir,0.16353386448684476
Janna,Morgana,0.16328999311574494
Leona,Soraka,0.16325827811610755
Darius,Yasuo,0.16224280041973116
Nautilus,Thresh,0.16027823223649146
Kalista,Lucian,0.1591069489912409
Lucian,Yasuo,0.1555111385342544
Riven,Vayne,0.15500171752386066
Ezreal,Sylas,0.15453848501126605
Nami,Zyra,0.15452227070801053
Irelia,Vladimir,0.15426741950699488
Alistar,Pyke,0.15265189230845344
Sona,Soraka,0.15254299044857972
Leona,Nami,0.1522918067178166
Ezreal,Tristana,0.1515070721316094
Galio,Morgana,0.15053858078847213
Kassadin,Zed,0.15001816181302402
Jhin,Vayne,0.14950299226485847
Ezreal,Morgana,0.1492687757675808
Braum,Soraka,0.1489527078362809
Irelia,Zed,0.14858713348216857
Ashe,Varus,0.14836234799006856
Galio,Thresh,0.14795801948011691
