Id,Label
44,Jayce
129,Vladimir
61,LeeSin
92,Renekton
98,Shaco
56,Khazix
34,Gragas
1,Ahri
142,Zyra
23,Ekko
103,Sivir
65,Lulu
14,Caitlyn
135,Yasuo
55,Kennen
64,Lucian
26,Ezreal
45,Jhin
132,Xayah
124,Vayne
57,Kindred
60,Leblanc
39,Irelia
52,Katarina
138,Zed
63,Lissandra
85,Pantheon
83,Orianna
108,Sylas
74,Morgana
29,Fizz
36,Hecarim
90,Rammus
49,Karma
96,Ryze
139,Ziggs
47,Kaisa
94,Riven
86,Poppy
53,Kayle
20,Diana
7,Ashe
12,Brand
5,Anivia
50,Karthus
25,Evelynn
24,Elise
28,Fiora
117,Trundle
101,Singed
38,Illaoi
109,Syndra
66,Lux
42,JarvanIV
54,Kayn
32,Garen
93,Rengar
123,Varus
46,Jinx
136,Yorick
122,Urgot
2,Akali
51,Kassadin
87,Pyke
114,Teemo
18,Corki
78,Neeko
11,Blitzcrank
19,Darius
91,RekSai
127,Vi
70,MasterYi
134,XinZhao
115,Thresh
16,Cassiopeia
9,Azir
126,Velkoz
107,Swain
33,Gnar
106,Soraka
75,Nami
79,Nidalee
15,Camille
80,Nocturne
35,Graves
84,Ornn
113,Taric
62,Leona
77,Nautilus
13,Braum
3,Alistar
128,Viktor
68,Malzahar
102,Sion
133,Xerath
21,Draven
48,Kalista
97,Sejuani
6,Annie
110,TahmKench
131,Warwick
41,Janna
43,Jax
125,Veigar
119,TwistedFate
140,Zilean
0,Aatrox
30,Galio
69,Maokai
112,Talon
72,MonkeyKing
116,Tristana
141,Zoe
71,MissFortune
99,Shen
67,Malphite
27,Fiddlesticks
121,Udyr
82,Olaf
137,Zac
118,Tryndamere
105,Sona
37,Heimerdinger
95,Rumble
100,Shyvana
76,Nasus
89,Rakan
120,Twitch
10,Bard
22,DrMundo
130,Volibear
31,Gangplank
58,Kled
111,Taliyah
73,Mordekaiser
17,Chogath
8,AurelionSol
81,Nunu
4,Amumu
88,Quinn
104,Skarner
40,Ivern
59,KogMaw
