Source,Target,Type,Weight
4,3,Undirected,0.5048662935229317
4,7,Undirected,0.4699143009079892
3,7,Undirected,0.42989258790518403
2,4,Undirected,0.3745099012013907
4,1,Undirected,0.33542722141757303
3,1,Undirected,0.30828520085679023
2,7,Undirected,0.2989579034430917
2,3,Undirected,0.29263411124404876
2,1,Undirected,0.24542894315808203
1,7,Undirected,0.23291013554358206
4,10,Undirected,0.22941080305121778
8,4,Undirected,0.21718962739176687
2,10,Undirected,0.21651351967702734
10,7,Undirected,0.2129877976542395
8,2,Undirected,0.20854770552859914
4,5,Undirected,0.20328100957492803
10,3,Undirected,0.19487379485908096
8,1,Undirected,0.193921278461448
10,1,Undirected,0.19023381536839107
5,3,Undirected,0.1757963691465385
12,7,Undirected,0.1729393352486893
8,7,Undirected,0.16752465934718597
4,12,Undirected,0.16729707375397115
8,3,Undirected,0.16454963121097796
2,5,Undirected,0.16125356848812833
12,3,Undirected,0.15382503623000474
4,13,Undirected,0.1486216802953019
8,9,Undirected,0.1444707435900456
4,9,Undirected,0.1431970873081416
5,7,Undirected,0.1428946827815923
3,6,Undirected,0.1387717205717097
2,13,Undirected,0.13602921439398055
4,6,Undirected,0.13182982042657077
8,10,Undirected,0.13128305226900389
13,7,Undirected,0.1293409303472854
3,9,Undirected,0.12647716931044903
3,13,Undirected,0.12263183480439428
2,9,Undirected,0.11620196159054723
8,13,Undirected,0.11420415738853947
1,13,Undirected,0.11411000862917049
7,6,Undirected,0.11027986476462892
1,6,Undirected,0.10765444210633898
1,9,Undirected,0.1076533688120725
5,1,Undirected,0.1046262931984711
5,10,Undirected,0.10456479781019837
8,6,Undirected,0.10040796350890213
2,12,Undirected,0.09960566171271827
9,7,Undirected,0.09931018707718375
8,5,Undirected,0.09841173125532036
10,13,Undirected,0.09511168905253961
2,6,Undirected,0.09388481538020384
14,7,Undirected,0.09149566708688926
12,1,Undirected,0.08803734100342314
4,14,Undirected,0.07899929825712405
10,12,Undirected,0.07778799758663629
11,7,Undirected,0.0763842408834249
10,14,Undirected,0.07582251877070291
13,14,Undirected,0.07437282582792303
11,3,Undirected,0.07396280481921129
2,14,Undirected,0.07363033728793147
11,4,Undirected,0.0722564791067567
13,9,Undirected,0.07118935877544426
13,6,Undirected,0.07100414901238794
5,9,Undirected,0.07097986373497724
8,12,Undirected,0.06961159117494758
10,9,Undirected,0.06953785551773184
10,6,Undirected,0.06928436012410377
12,6,Undirected,0.06883260761034932
1,14,Undirected,0.06498698179202074
3,14,Undirected,0.06207323793296509
5,6,Undirected,0.06078726727633979
5,12,Undirected,0.06007252349819845
9,6,Undirected,0.05615598301079461
8,14,Undirected,0.055178923202378084
12,9,Undirected,0.05476971903548066
12,13,Undirected,0.05403355834206131
5,13,Undirected,0.053525307161670206
14,9,Undirected,0.05107292587888388
