Source,Target,Type,Weight
10,15,Undirected,0.14821572039451655
18,15,Undirected,0.12536383218324093
10,3,Undirected,0.12189788874150993
5,21,Undirected,0.11671089881493556
18,3,Undirected,0.1137497360997888
10,18,Undirected,0.11312994852965114
21,4,Undirected,0.10190839933764322
22,13,Undirected,0.10044217933550213
10,9,Undirected,0.09779826370263692
18,8,Undirected,0.09586543562748165
16,10,Undirected,0.09560034954407884
2,18,Undirected,0.09495770363865555
31,17,Undirected,0.09191408030749856
6,19,Undirected,0.09044150379661609
11,3,Undirected,0.09041485519650297
31,6,Undirected,0.09023546047102342
5,11,Undirected,0.08960528882093452
3,15,Undirected,0.08924011454395178
10,2,Undirected,0.08902703952091126
10,19,Undirected,0.08836088614332771
4,6,Undirected,0.0879729656598542
5,6,Undirected,0.08687986397855355
17,6,Undirected,0.08573914576032353
17,4,Undirected,0.08483314217382237
8,15,Undirected,0.08444874342737013
9,8,Undirected,0.08434318396563678
5,4,Undirected,0.08339604570719344
9,3,Undirected,0.08224638005476578
10,8,Undirected,0.08081795671218925
15,30,Undirected,0.07919336366355331
29,20,Undirected,0.07783628318844246
21,17,Undirected,0.07726634859210704
16,9,Undirected,0.07701957807700319
21,11,Undirected,0.07554500392125334
21,13,Undirected,0.07539955769792753
5,17,Undirected,0.07527750369363663
18,11,Undirected,0.07514908448610483
9,6,Undirected,0.07513922728338068
16,15,Undirected,0.07484746271154258
8,3,Undirected,0.07457253786628233
2,15,Undirected,0.07418408594887055
9,18,Undirected,0.07359079138549834
9,11,Undirected,0.07350476549371736
31,4,Undirected,0.0730471221930285
22,16,Undirected,0.0730293075238917
2,8,Undirected,0.07138714219566497
3,17,Undirected,0.07124782691199241
6,14,Undirected,0.07109825127936664
9,19,Undirected,0.07090634639497514
2,19,Undirected,0.07028393082948295
16,30,Undirected,0.06938547888186193
16,11,Undirected,0.06923972233068168
22,11,Undirected,0.06916146254279743
23,4,Undirected,0.06893706833722416
5,8,Undirected,0.06856426352159617
21,25,Undirected,0.06780409032573055
9,15,Undirected,0.067210458819207
5,25,Undirected,0.06699864418602514
25,4,Undirected,0.06682389590369703
10,11,Undirected,0.06664739828190222
21,6,Undirected,0.06636948677665894
9,17,Undirected,0.06598124799941325
17,19,Undirected,0.06535662776495857
8,4,Undirected,0.0650084397567827
17,27,Undirected,0.06479902097049631
10,17,Undirected,0.06420255169873601
16,2,Undirected,0.06418223206700116
4,27,Undirected,0.06411561455009387
10,5,Undirected,0.0639513791427454
5,13,Undirected,0.06360512161934909
11,17,Undirected,0.06336620686097139
16,18,Undirected,0.0630852941773041
21,27,Undirected,0.06267669989033142
18,21,Undirected,0.062319319861830695
8,11,Undirected,0.062273982726439095
11,19,Undirected,0.061695135624379505
4,14,Undirected,0.06153820827099225
8,17,Undirected,0.0613858909982124
7,13,Undirected,0.06122259420203533
16,3,Undirected,0.060824941404483954
10,30,Undirected,0.06078711078899066
10,6,Undirected,0.06070279727805252
18,17,Undirected,0.06057222284584686
11,14,Undirected,0.06025803944559498
16,21,Undirected,0.060071235535235044
31,21,Undirected,0.05990355174704885
22,5,Undirected,0.059731947430264117
22,21,Undirected,0.05947770724833963
16,8,Undirected,0.05924686665817601
21,8,Undirected,0.058342144189563946
3,19,Undirected,0.05821074199149493
9,21,Undirected,0.05820023589937385
5,19,Undirected,0.05803786822222399
6,29,Undirected,0.057796787169393224
4,13,Undirected,0.057767414439143384
21,12,Undirected,0.05746269431670381
31,14,Undirected,0.05730523184847293
31,5,Undirected,0.05716356211675362
9,32,Undirected,0.05705350785502765
21,3,Undirected,0.056537342637121735
19,14,Undirected,0.056353427422437284
17,14,Undirected,0.05631616719714988
18,4,Undirected,0.056217459592959304
23,6,Undirected,0.05585096715927157
27,20,Undirected,0.05575867378312025
9,2,Undirected,0.05575093121064294
21,7,Undirected,0.0556355338462198
2,3,Undirected,0.05561898635048523
25,13,Undirected,0.055407792634252814
5,3,Undirected,0.054792366806478573
4,19,Undirected,0.05474745317745705
11,15,Undirected,0.05471297921396598
31,9,Undirected,0.05416183131333731
18,5,Undirected,0.0540415501562831
21,14,Undirected,0.05401527414577063
5,12,Undirected,0.05370483702058114
19,13,Undirected,0.05356906489219553
8,6,Undirected,0.053486037280192286
9,30,Undirected,0.05330319870610721
11,6,Undirected,0.053167620777134036
5,14,Undirected,0.05224278654676219
18,19,Undirected,0.051454359711385705
11,12,Undirected,0.051191451627903464
31,8,Undirected,0.051089752834190816
27,14,Undirected,0.051028969225116606
9,14,Undirected,0.050953028801682156
11,4,Undirected,0.05077382958636912
2,4,Undirected,0.050516063752993785
2,11,Undirected,0.050481620481253986
6,32,Undirected,0.05036156160879168
10,4,Undirected,0.0503004039059622
2,13,Undirected,0.05004480100982365
