Source,Target,Type,Weight
6,10,Undirected,0.34207214812453923
8,6,Undirected,0.25230193691650976
28,8,Undirected,0.20120745801290146
20,6,Undirected,0.19791322816741372
26,15,Undirected,0.19664377947932768
8,20,Undirected,0.18743096368585743
17,15,Undirected,0.1815018319604356
14,6,Undirected,0.17987088078490587
5,15,Undirected,0.17609142419837076
2,6,Undirected,0.17533024377150086
28,6,Undirected,0.15754387847269927
8,14,Undirected,0.15690525542511868
43,10,Undirected,0.15625193013991262
8,2,Undirected,0.1473839261695819
29,10,Undirected,0.14294330347613932
8,10,Undirected,0.1415794481845643
1,2,Undirected,0.13902717129858944
28,14,Undirected,0.13794408429371094
11,13,Undirected,0.1369555647981216
20,10,Undirected,0.1351385568215721
14,2,Undirected,0.1324153112347216
8,44,Undirected,0.13217999388090268
29,13,Undirected,0.13172256904772903
29,2,Undirected,0.12661133312722572
14,44,Undirected,0.12404220751172923
16,10,Undirected,0.12271361282075487
3,11,Undirected,0.12270260044124848
14,10,Undirected,0.12254543119159192
18,2,Undirected,0.12233705274167123
17,5,Undirected,0.12016417157516615
8,1,Undirected,0.11988642639784508
3,13,Undirected,0.1189179307762149
2,10,Undirected,0.11770157399199391
42,1,Undirected,0.11691721249625135
29,6,Undirected,0.1161528964763654
24,8,Undirected,0.11373182146281069
6,44,Undirected,0.11333282389478255
43,6,Undirected,0.11262426166580833
11,44,Undirected,0.11199351590499299
1,18,Undirected,0.11139411292092774
42,8,Undirected,0.11136725725357438
42,6,Undirected,0.11081360348665056
28,44,Undirected,0.11077659663712977
28,2,Undirected,0.11076154793768729
3,10,Undirected,0.11033728174775176
29,43,Undirected,0.11006380706013434
28,18,Undirected,0.1097691469238546
24,20,Undirected,0.10960512235851136
1,20,Undirected,0.10934542047013629
45,12,Undirected,0.10844358888670186
42,14,Undirected,0.10757351590420292
11,2,Undirected,0.1065792890649553
24,2,Undirected,0.10630062989939569
42,28,Undirected,0.10499142621838839
20,2,Undirected,0.10347660492685
1,6,Undirected,0.10339480937935436
15,38,Undirected,0.10328341883166099
31,14,Undirected,0.10327514633757226
9,6,Undirected,0.10282468628244802
8,18,Undirected,0.10262102630319964
36,2,Undirected,0.1026046362711745
29,11,Undirected,0.10244377139604127
28,10,Undirected,0.10130229480097301
5,26,Undirected,0.10102756709945379
16,6,Undirected,0.09945431342104544
1,36,Undirected,0.09933727991840507
16,29,Undirected,0.09890562583640906
28,20,Undirected,0.09882770201472366
10,44,Undirected,0.09793461495491719
20,14,Undirected,0.09625579829896494
27,45,Undirected,0.0957313669152188
13,36,Undirected,0.093475042874941
24,6,Undirected,0.09339743839470888
3,26,Undirected,0.09317704329815144
16,43,Undirected,0.09291540443958701
26,38,Undirected,0.09277972169707938
11,18,Undirected,0.09261051269284093
9,10,Undirected,0.09204551388770993
11,36,Undirected,0.09203854598096367
18,6,Undirected,0.0918595617775002
18,14,Undirected,0.09142668146747823
11,37,Undirected,0.09065603066705091
42,2,Undirected,0.08997214856688703
13,10,Undirected,0.08979425436386435
3,15,Undirected,0.08953291818669051
18,36,Undirected,0.08769955296048654
1,14,Undirected,0.08739897409284725
24,1,Undirected,0.08716347450143294
8,9,Undirected,0.08601295641733579
30,18,Undirected,0.08543182206571842
15,41,Undirected,0.0853189713286457
45,15,Undirected,0.08525532885034989
11,10,Undirected,0.08515719929148954
26,45,Undirected,0.08495161545036423
30,11,Undirected,0.0849513796761476
11,6,Undirected,0.08442449240158886
15,40,Undirected,0.08397341642393805
13,25,Undirected,0.08355777834509381
2,44,Undirected,0.08272412814122543
18,44,Undirected,0.08253412139082517
13,44,Undirected,0.08132637076971008
42,10,Undirected,0.08122334174141022
1,10,Undirected,0.08090718933704033
29,36,Undirected,0.0802601197426405
8,29,Undirected,0.07978748284761893
45,38,Undirected,0.07970610156385649
17,26,Undirected,0.07874098361149179
3,44,Undirected,0.07850001233618492
48,44,Undirected,0.07812441419886902
3,16,Undirected,0.0778921148947552
32,13,Undirected,0.07736572105517049
29,18,Undirected,0.07723554617387922
37,15,Undirected,0.07634211688515447
7,2,Undirected,0.07603432659584941
11,14,Undirected,0.07580626536555603
28,43,Undirected,0.07562359766899761
42,18,Undirected,0.07557047074714063
3,29,Undirected,0.07550211665534241
30,29,Undirected,0.07528004178073286
3,38,Undirected,0.07425895857334279
35,12,Undirected,0.07351101974554618
32,18,Undirected,0.07336141943869169
29,14,Undirected,0.0730065665778224
11,15,Undirected,0.0728052505206365
27,12,Undirected,0.07268028590341745
33,18,Undirected,0.07174505907998868
13,18,Undirected,0.07118603251539499
3,6,Undirected,0.07108688542786151
29,44,Undirected,0.07105090797236455
28,1,Undirected,0.0710227991604129
26,40,Undirected,0.07090565907734062
15,12,Undirected,0.07037076704405765
42,36,Undirected,0.06992467982657104
16,2,Undirected,0.0699076977849851
15,31,Undirected,0.06925764409838109
40,38,Undirected,0.0691464511800381
8,43,Undirected,0.06906482895136153
4,2,Undirected,0.06891389803929605
13,2,Undirected,0.06875861664618119
17,31,Undirected,0.06830673536404587
32,11,Undirected,0.06812328102487045
38,10,Undirected,0.06732273091979148
1,7,Undirected,0.06726928492185924
43,2,Undirected,0.06720917477784322
30,36,Undirected,0.06716372492680885
28,24,Undirected,0.06696330956624039
26,13,Undirected,0.06680042179172374
31,44,Undirected,0.06648157091844617
28,9,Undirected,0.06628969727470986
14,43,Undirected,0.06596007637987922
1,11,Undirected,0.06590443413176628
42,20,Undirected,0.06520710707736499
3,43,Undirected,0.06499264225494744
42,24,Undirected,0.06485425919793439
3,37,Undirected,0.06472320339720466
37,2,Undirected,0.06457543127065321
30,13,Undirected,0.0642539632437232
28,11,Undirected,0.06425253804563116
32,36,Undirected,0.06412417285523009
16,11,Undirected,0.0640499688081812
39,5,Undirected,0.06378868318479289
37,36,Undirected,0.06359999367205314
4,6,Undirected,0.06359576690535827
17,41,Undirected,0.06304705164903089
42,11,Undirected,0.06304636979061731
37,13,Undirected,0.06264587729969501
26,31,Undirected,0.06243003876795635
4,10,Undirected,0.0623784701450055
16,13,Undirected,0.06221728136707243
16,8,Undirected,0.0620340075931034
1,29,Undirected,0.06188072798242947
32,25,Undirected,0.061459903755796644
45,40,Undirected,0.061401649980383166
42,44,Undirected,0.06088624882633045
7,46,Undirected,0.060655376299987115
9,2,Undirected,0.060648428281804403
24,7,Undirected,0.060593986186274804
30,2,Undirected,0.0600591963781938
18,10,Undirected,0.059889454709910486
28,29,Undirected,0.05960459954946957
32,2,Undirected,0.05954149144456989
29,9,Undirected,0.05856520194563441
42,29,Undirected,0.05843164639686391
16,14,Undirected,0.058348136523203725
13,43,Undirected,0.058318867669022834
24,47,Undirected,0.05800986565350793
23,12,Undirected,0.05784729194109562
11,38,Undirected,0.05766854522233214
3,36,Undirected,0.057652979672387986
33,10,Undirected,0.05757477538676774
33,11,Undirected,0.057368155101883186
5,41,Undirected,0.057239663805082275
