Id,Label,Attribute
1,Jayce,2
2,Vladimir,2
3,Ahri,2
4,Ekko,2
5,Lulu,2
6,Yasuo,2
7,Kennen,2
8,Irelia,2
9,Katarina,2
10,Zed,2
11,Lissandra,2
12,Pantheon,2
13,Orianna,2
14,Sylas,2
15,Morgana,2
16,Fizz,2
17,Karma,2
18,Ryze,2
19,Ziggs,2
20,Riven,2
21,Diana,2
22,Anivia,2
23,Karthus,2
24,Fiora,2
25,Syndra,2
26,Lux,2
27,Garen,2
28,Akali,2
29,Kassadin,2
30,Corki,2
31,Neeko,2
32,Cassiopeia,2
33,Azir,2
34,Swain,2
35,Nocturne,2
36,Viktor,2
37,Malzahar,2
38,Xerath,2
39,Annie,2
40,Veigar,2
41,Zilean,2
42,Aatrox,2
43,Talon,2
44,Zoe,2
45,Malphite,2
46,Rumble,2
47,Kled,2
48,Taliyah,2
