Source,Target,Type,Weight
7,4,Undirected,0.26526019471790574
23,7,Undirected,0.219989472063852
6,4,Undirected,0.2193085565166879
13,4,Undirected,0.21474682761623792
7,13,Undirected,0.20251767109558233
9,4,Undirected,0.190068114715222
2,4,Undirected,0.18736667677699378
23,4,Undirected,0.17334208673604906
7,9,Undirected,0.17015542793177674
26,4,Undirected,0.16738364966644007
13,6,Undirected,0.16038032603601662
7,2,Undirected,0.15847610602930803
23,9,Undirected,0.15222127930889526
26,19,Undirected,0.1509793441615031
1,2,Undirected,0.14969898517319535
7,6,Undirected,0.14928691778014347
26,3,Undirected,0.14871048961008382
41,24,Undirected,0.14600205449548204
22,21,Undirected,0.14500286751957459
9,2,Undirected,0.14170118651078517
15,9,Undirected,0.14148409346732563
26,32,Undirected,0.13738531204547563
12,2,Undirected,0.1309108349031933
32,3,Undirected,0.1286073217333991
7,1,Undirected,0.12848718366758077
19,41,Undirected,0.1281688746691465
6,2,Undirected,0.1270948320744805
16,7,Undirected,0.126890532136658
32,2,Undirected,0.12670419084639656
33,1,Undirected,0.12612822092557383
31,22,Undirected,0.12453279933986694
16,13,Undirected,0.12182441899599958
23,12,Undirected,0.12121736383724076
23,2,Undirected,0.12034292253046175
1,12,Undirected,0.12013268096889283
1,13,Undirected,0.11962308781361225
36,41,Undirected,0.11933580637646139
33,7,Undirected,0.11801291546016981
33,4,Undirected,0.11732850396636019
26,41,Undirected,0.11679061326270532
10,32,Undirected,0.11671089881493556
16,2,Undirected,0.11609003300556078
33,23,Undirected,0.11547293237407949
32,41,Undirected,0.11470043182065398
23,13,Undirected,0.11466436228288923
36,8,Undirected,0.11451494845612459
33,9,Undirected,0.114277269633069
36,24,Undirected,0.11406530826874274
13,2,Undirected,0.1133614506052252
7,12,Undirected,0.11297639979221083
26,2,Undirected,0.1128023048628041
1,4,Undirected,0.11218329741568453
30,2,Undirected,0.11160195094630235
19,36,Undirected,0.11109251911847864
3,2,Undirected,0.11046177114280009
16,32,Undirected,0.11025374636307314
25,9,Undirected,0.1092563290327838
1,30,Undirected,0.10883337213932057
9,6,Undirected,0.10825739115339418
13,9,Undirected,0.10775434515881782
29,22,Undirected,0.10528339510589921
15,2,Undirected,0.10519605374032043
32,4,Undirected,0.10508889531883939
16,4,Undirected,0.10416849718433523
23,6,Undirected,0.1032796711567733
32,8,Undirected,0.1019083993376432
7,32,Undirected,0.10172164485886809
7,15,Undirected,0.10166749554705938
22,2,Undirected,0.10115621782781956
12,9,Undirected,0.10093158545231379
32,6,Undirected,0.10070825517791404
33,22,Undirected,0.10044217933550213
43,1,Undirected,0.10034442340671398
23,15,Undirected,0.10008586514843984
18,21,Undirected,0.09991898348784264
18,22,Undirected,0.09963086282867997
15,6,Undirected,0.09952049604472511
19,3,Undirected,0.09867517983177343
12,4,Undirected,0.09846657344372267
3,22,Undirected,0.0980906870681384
33,2,Undirected,0.09749529947356636
9,22,Undirected,0.09683391359238507
16,1,Undirected,0.09584593113952514
32,36,Undirected,0.09579030867191692
10,9,Undirected,0.09395490014481525
31,21,Undirected,0.09362708524604646
1,9,Undirected,0.093604999660582
12,30,Undirected,0.09347447630161934
26,9,Undirected,0.09290873451999823
26,22,Undirected,0.0926578594172388
26,13,Undirected,0.09259019518148415
10,15,Undirected,0.09257735121474195
32,15,Undirected,0.09241835865628492
28,7,Undirected,0.09071849553311667
19,32,Undirected,0.09008758018252719
41,21,Undirected,0.08986573508427886
26,7,Undirected,0.088986536119367
26,21,Undirected,0.08897134362591663
16,15,Undirected,0.08892506816639895
16,6,Undirected,0.0886132297295911
1,3,Undirected,0.0881902384046597
32,13,Undirected,0.08810583499004228
1,6,Undirected,0.08513093265604699
15,13,Undirected,0.08480456053460186
43,12,Undirected,0.08440491361269259
32,1,Undirected,0.08391852527640625
5,2,Undirected,0.0836159448065644
10,8,Undirected,0.08339604570719344
32,21,Undirected,0.08295735906683016
19,8,Undirected,0.08244648011359028
26,29,Undirected,0.08203116417874151
33,12,Undirected,0.08194814532460973
16,3,Undirected,0.08188965162161674
22,30,Undirected,0.08089670444181864
29,31,Undirected,0.0807401562588274
10,2,Undirected,0.0805668348776774
23,1,Undirected,0.08052339732356534
36,35,Undirected,0.08036805236017357
3,13,Undirected,0.08025001117623282
15,22,Undirected,0.08009858240483636
6,30,Undirected,0.07949328646167073
15,41,Undirected,0.07912892202987856
10,3,Undirected,0.07888781516732916
3,31,Undirected,0.0780652761272055
34,35,Undirected,0.07763866308095815
3,20,Undirected,0.0773840049909524
43,2,Undirected,0.07729998301431462
41,3,Undirected,0.07659198464374246
9,21,Undirected,0.07649198170555585
23,16,Undirected,0.07646826480410704
1,22,Undirected,0.07582003646554596
15,12,Undirected,0.07567242092816302
26,18,Undirected,0.07562725600296169
26,6,Undirected,0.0755366267469858
39,24,Undirected,0.0754686904982292
32,22,Undirected,0.07539955769792754
33,30,Undirected,0.0753518752730228
2,21,Undirected,0.07528287119940841
41,2,Undirected,0.07514550176890517
15,25,Undirected,0.07489915595824366
28,16,Undirected,0.07450387369139563
26,20,Undirected,0.0743803313090576
11,25,Undirected,0.07434600757154905
26,36,Undirected,0.07377125333510624
19,24,Undirected,0.07374262258684827
10,13,Undirected,0.073635656151712
26,16,Undirected,0.07355499516787492
1,5,Undirected,0.07336138794377749
26,1,Undirected,0.07314691190070481
33,28,Undirected,0.0730293075238917
20,4,Undirected,0.07257609897420353
3,21,Undirected,0.07250526867546382
33,16,Undirected,0.07232271451098221
31,2,Undirected,0.07224045155600106
29,9,Undirected,0.0718797680070232
19,21,Undirected,0.07178710073725961
32,31,Undirected,0.07124700546418017
15,4,Undirected,0.07109477274878787
33,13,Undirected,0.07016361561114862
34,29,Undirected,0.06990514534537554
5,40,Undirected,0.06966319736488392
29,2,Undirected,0.06943459756329645
33,15,Undirected,0.06933000292396282
12,6,Undirected,0.06907875997714197
7,3,Undirected,0.06877707212504774
29,21,Undirected,0.06859933755528902
14,31,Undirected,0.06819203207062965
7,22,Undirected,0.06803257193247605
32,37,Undirected,0.06780409032573055
36,22,Undirected,0.06760197748537186
36,31,Undirected,0.06745672769556173
41,8,Undirected,0.06741962011617637
29,3,Undirected,0.06716612366353338
36,3,Undirected,0.06706545044456194
10,37,Undirected,0.06699864418602512
32,38,Undirected,0.06688103598199555
37,8,Undirected,0.06682389590369703
8,3,Undirected,0.06658720735739572
5,21,Undirected,0.06643258425182069
16,44,Undirected,0.06636651489498333
18,41,Undirected,0.06605687724213465
8,31,Undirected,0.06599112955203286
36,21,Undirected,0.06580977876761485
44,22,Undirected,0.06551938793834945
7,20,Undirected,0.06445416004125115
3,4,Undirected,0.06437240388184139
28,13,Undirected,0.06423417883978247
8,24,Undirected,0.06392351814096284
16,5,Undirected,0.06390228112152344
41,38,Undirected,0.06366110545527269
10,22,Undirected,0.06360512161934909
16,9,Undirected,0.0633025929204335
