Id,Label,Attribute
1,Jayce,2
2,Vladimir,2
3,Renekton,2
4,Yasuo,2
5,Kennen,2
6,Vayne,2
7,Irelia,2
8,Pantheon,2
9,Sylas,2
10,Hecarim,2
11,Karma,2
12,Ryze,2
13,Riven,2
14,Poppy,2
15,Kayle,2
16,Fiora,2
17,Singed,2
18,Illaoi,2
19,Garen,2
20,Rengar,2
21,Yorick,2
22,Urgot,2
23,Akali,2
24,Teemo,2
25,Neeko,2
26,Darius,2
27,Gnar,2
28,Camille,2
29,Ornn,2
30,Viktor,2
31,Sion,2
32,Jax,2
33,Aatrox,2
34,Maokai,2
35,Shen,2
36,Malphite,2
37,Olaf,2
38,Tryndamere,2
39,Heimerdinger,2
40,Rumble,2
41,Nasus,2
42,Volibear,2
43,Gangplank,2
44,Kled,2
45,Quinn,2
